"Hurghada:",,"compound",,,,,,,,,,,,,,,
"GoogleMapsURL","Name","Phone","Rating","ReviewsCount","Website","Address","VisibleCategory","Category"
"https://www.google.com/maps/place/The+Chedi+El+Gouna/data=!4m10!3m9!1s0x14526791d2b285b7:0x17fc0fa3cd49a6f2!5m2!4m1!1i2!8m2!3d27.3966852!4d33.6831371!16s%2Fg%2F11t2xwy7ls!19sChIJt4Wy0pFnUhQR8qZJzaMP_Bc?authuser=0&hl=en&rclk=1","The Chedi El Gouna","0653545162","460","4.8","https://www.thechedielgouna.com/?utm_campaign=Google_My_Business&utm_medium=GMB&utm_source=Google_My_Business"," Hill Villas Rd, Hurghada 2, Red Sea Governorate 84513 ","N/A","resort"
"https://www.google.com/maps/place/Hurghada+Marriott+Beach+Resort/data=!4m10!3m9!1s0x145286e055b8f977:0xe55c35b6f39a9c49!5m2!4m1!1i2!8m2!3d27.1971563!4d33.8443649!16s%2Fg%2F1tcvf1l8!19sChIJd_m4VeCGUhQRSZya87Y1XOU?authuser=0&hl=en&rclk=1","Hurghada Marriott Beach Resort","0653404420","6","4.5","https://www.marriott.com/en-us/hotels/hrgeg-hurghada-marriott-beach-resort/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0"," El Corniche Road, Hurghada, Red Sea Governorate ","N/A","resort"
"https://www.google.com/maps/place/Royal+Beach+Hurghada/data=!4m10!3m9!1s0x1452632257e0acb5:0xa533920a1d65e459!5m2!4m1!1i2!8m2!3d27.3024895!4d33.7432784!16s%2Fg%2F11b75mdyh9!19sChIJtazgVyJjUhQRWeRlHQqSM6U?authuser=0&hl=en&rclk=1","Royal Beach Hurghada","01208480034","755","4.1","http://royalbeach-hurghada.com/"," 8P2R+7R3, Hurgada - Al Ismaileya, Hurghada 2, Red Sea Governorate 1981741 ","N/A","resort"
"https://www.google.com/maps/place/The+Grand+Resort,+Hurghada/data=!4m10!3m9!1s0x145280cbe5cb618f:0xf8e6fc36301b6eaa!5m2!4m1!1i2!8m2!3d27.1746498!4d33.8234185!16s%2Fg%2F1tjxnqd5!19sChIJj2HL5cuAUhQRqm4bMDb85vg?authuser=0&hl=en&rclk=1","The Grand Resort, Hurghada","0653463107","8","4.0","https://redseahotels.com/resorts/hurghada/the-grand-resort/"," Corniche Road, Touristic Villages, Hurghada 1, Red Sea Governorate 1962541 ","N/A","resort"
"https://www.google.com/maps/place/Pickalbatros+White+Beach+Resort+-+Hurghada/data=!4m10!3m9!1s0x14528733cf897453:0xb2f731636e007ca6!5m2!4m1!1i2!8m2!3d27.1835443!4d33.8255955!16s%2Fg%2F11c3_1m094!19sChIJU3SJzzOHUhQRpnwAbmMx97I?authuser=0&hl=en&rclk=1","Pickalbatros White Beach Resort - Hurghada","0653463650","12","4.8","https://www.pickalbatros.com/hotels-resorts/albatros-white-beach/"," Mamsha Road (El, The Corniche، St, Hurghada, Red Sea Governorate ","N/A","resort"
"https://www.google.com/maps/place/Minamark+Beach+Resort+%26+Spa/data=!4m10!3m9!1s0x145287aa61ed76d3:0x8b299adb197f7a3b!5m2!4m1!1i2!8m2!3d27.217928!4d33.8384884!16s%2Fg%2F1ptw8s7sx!19sChIJ03btYaqHUhQRO3p_GduaKYs?authuser=0&hl=en&rclk=1","Minamark Beach Resort & Spa","01223277496","4","3.8","http://www.minamark.com/"," Sheraton Rd, Hurghada 1, Red Sea Governorate 84511 ","N/A","resort"
"https://www.google.com/maps/place/SUNRISE+Holidays+Resort+%28Adults+Only%29/data=!4m10!3m9!1s0x145287e44ad37ea9:0xeeba2c7f5666d5a1!5m2!4m1!1i2!8m2!3d27.2095756!4d33.8460807!16s%2Fg%2F1tdqx00j!19sChIJqX7TSuSHUhQRodVmVn8suu4?authuser=0&hl=en&rclk=1","SUNRISE Holidays Resort (Adults Only)","0653445081","23","4.8","http://www.sunrise-resorts.com/"," Cornish Road, Hurghada 1, Red Sea Governorate 99999 ","N/A","resort"
"https://www.google.com/maps/place/Sand+Beach+Resort/data=!4m10!3m9!1s0x145287de4ce0a255:0xf65ef692d1acd0f8!5m2!4m1!1i2!8m2!3d27.2603848!4d33.8208132!16s%2Fg%2F1td7qgwf!19sChIJVaLgTN6HUhQR-NCs0ZL2XvY?authuser=0&hl=en&rclk=1","Sand Beach Resort","0653547821","1","3.4","http://sandbeachresort.xyz/"," El Corniche Road, Hurghada 2, Red Sea Governorate 1973705 ","N/A","resort"
"https://www.google.com/maps/place/Pickalbatros+Blu+Spa+Resort+-+Hurghada/data=!4m10!3m9!1s0x144d7d2fa6963acf:0x9db37298868172aa!5m2!4m1!1i2!8m2!3d27.1825934!4d33.8249656!16s%2Fg%2F11qbkrxyjq!19sChIJzzqWpi99TRQRqnKBhphys50?authuser=0&hl=en&rclk=1","Pickalbatros Blu Spa Resort - Hurghada","0653463310","5","4.8","http://www.pickalbatros.com/"," Mamsha Road (The Corniche St, Hurghada, Red Sea Governorate 84517 ","N/A","resort"
"https://www.google.com/maps/place/Steigenberger+Aqua+Magic+Hotel/data=!4m10!3m9!1s0x145280c108d4037f:0xa52d5e5b796e5bbd!5m2!4m1!1i2!8m2!3d27.162313!4d33.822763!16s%2Fg%2F1q6640_jh!19sChIJfwPUCMGAUhQRvVtueVteLaU?authuser=0&hl=en&rclk=1","Steigenberger Aqua Magic Hotel","0653465200","29","4.7","https://steigenbergeraldauresort.com/en/steigenberger-aqua-magic"," Youssef Affifi Rd, Hurghada 1, Red Sea Governorate 1962522 ","N/A","resort"
